date,home,visitor,FT,hgoal,vgoal,comp_season,cup,shootout_winner
2013-08-11,Crotone,Latina,2-0,2,0,2013-14,Coppa Italia,
2013-08-11,Empoli,Südtirol,5-1,5,1,2013-14,Coppa Italia,
2013-08-11,Juve Stabia,Gubbio,3-0,3,0,2013-14,Coppa Italia,
2013-08-11,Modena,Frosinone,0-1,0,1,2013-14,Coppa Italia,
2013-08-11,Novara,Grosseto,3-0,3,0,2013-14,Coppa Italia,
2013-08-11,Padova,Virtus Entella,2-1,2,1,2013-14,Coppa Italia,
2013-08-11,Palermo,Cremonese,2-1,2,1,2013-14,Coppa Italia,
2013-08-11,Pescara,Pordenone,1-0,1,0,2013-14,Coppa Italia,
2013-08-11,Reggina,Carpi,1-0,1,0,2013-14,Coppa Italia,
2013-08-11,Siena,Pisa,4-1,4,1,2013-14,Coppa Italia,
2013-08-11,Ternana,Lecce,2-4,2,4,2013-14,Coppa Italia,
2013-08-11,Trapani,AlbinoLeffe,3-0,3,0,2013-14,Coppa Italia,
2013-08-11,Varese,Vicenza,1-0,1,0,2013-14,Coppa Italia,
2013-08-11,Virtus Lanciano,Benevento,0-2,0,2,2013-14,Coppa Italia,
2013-08-17,Avellino,Cesena,1-0,1,0,2013-14,Coppa Italia,
2013-08-17,Bologna,Brescia,1-0,1,0,2013-14,Coppa Italia,
2013-08-17,Cagliari,Frosinone,1-2,1,2,2013-14,Coppa Italia,
2013-08-17,Chievo,Empoli,2-0,2,0,2013-14,Coppa Italia,
2013-08-17,Juve Stabia,Varese,1-1,1,1,2013-14,Coppa Italia,Varese
2013-08-17,Livorno,Siena,0-1,0,1,2013-14,Coppa Italia,
2013-08-17,Novara,Sassuolo,1-3,1,3,2013-14,Coppa Italia,
2013-08-17,Palermo,Hellas Verona,0-1,0,1,2013-14,Coppa Italia,
2013-08-17,Parma,Lecce,4-0,4,0,2013-14,Coppa Italia,
2013-08-17,Reggina,Crotone,1-0,1,0,2013-14,Coppa Italia,
2013-08-17,Sampdoria,Benevento,2-0,2,0,2013-14,Coppa Italia,
2013-08-17,Spezia,Genoa,2-2,2,2,2013-14,Coppa Italia,Spezia
2013-08-17,Torino,Pescara,1-2,1,2,2013-14,Coppa Italia,
2013-08-17,Trapani,Padova,1-0,1,0,2013-14,Coppa Italia,
2013-08-18,Atalanta,Bari,3-0,3,0,2013-14,Coppa Italia,
2013-08-18,Internazionale,Cittadella,4-0,4,0,2013-14,Coppa Italia,
2013-12-03,Avellino,Frosinone,2-1,2,1,2013-14,Coppa Italia,
2013-12-03,Bologna,Siena,1-2,1,2,2013-14,Coppa Italia,
2013-12-03,Parma,Varese,4-1,4,1,2013-14,Coppa Italia,
2013-12-03,Spezia,Pescara,3-0,3,0,2013-14,Coppa Italia,
2013-12-04,Atalanta,Sassuolo,2-0,2,0,2013-14,Coppa Italia,
2013-12-04,Chievo,Reggina,4-1,4,1,2013-14,Coppa Italia,
2013-12-04,Internazionale,Trapani,3-2,3,2,2013-14,Coppa Italia,
2013-12-05,Sampdoria,Hellas Verona,4-1,4,1,2013-14,Coppa Italia,
2013-12-18,Juventus,Avellino,3-0,3,0,2013-14,Coppa Italia,
2014-01-08,Fiorentina,Chievo,2-0,2,0,2013-14,Coppa Italia,
2014-01-09,Roma,Sampdoria,1-0,1,0,2013-14,Coppa Italia,
2014-01-09,Udinese,Internazionale,1-0,1,0,2013-14,Coppa Italia,
2014-01-14,Lazio,Parma,2-1,2,1,2013-14,Coppa Italia,
2014-01-15,Catania,Siena,1-4,1,4,2013-14,Coppa Italia,
2014-01-15,Milan,Spezia,3-1,3,1,2013-14,Coppa Italia,
2014-01-15,Napoli,Atalanta,3-1,3,1,2013-14,Coppa Italia,
2014-01-21,Roma,Juventus,1-0,1,0,2013-14,Coppa Italia,
2014-01-22,Milan,Udinese,1-2,1,2,2013-14,Coppa Italia,
2014-01-23,Fiorentina,Siena,2-1,2,1,2013-14,Coppa Italia,
2014-02-04,Udinese,Fiorentina,2-1,2,1,2013-14,Coppa Italia,
2014-02-05,Roma,Napoli,3-2,3,2,2013-14,Coppa Italia,
2014-02-11,Fiorentina,Udinese,2-0,2,0,2013-14,Coppa Italia,
2014-02-12,Napoli,Roma,3-0,3,0,2013-14,Coppa Italia,
2014-05-03,Fiorentina,Napoli,1-3,1,3,2013-14,Coppa Italia,
2014-08-10,AlbinoLeffe,Renate,0-1,0,1,2014-15,Coppa Italia,
2014-08-10,Alessandria,Salernitana,1-0,1,0,2014-15,Coppa Italia,
2014-08-10,Benevento,Correggese,2-0,2,0,2014-15,Coppa Italia,
2014-08-10,Catanzaro,Akragas,2-0,2,0,2014-15,Coppa Italia,
2014-08-10,Como,Matelica Calcio,5-0,5,0,2014-15,Coppa Italia,
2014-08-10,Cremonese,Cosenza Calcio,3-2,3,2,2014-15,Coppa Italia,
2014-08-10,FeralpiSalò,Santarcangelo,1-0,1,0,2014-15,Coppa Italia,
2014-08-10,Juve Stabia,Prato,1-0,1,0,2014-15,Coppa Italia,
2014-08-10,L'Aquila,AltoVicentino,2-1,2,1,2014-15,Coppa Italia,
2014-08-10,Lecce,Foligno,5-0,5,0,2014-15,Coppa Italia,
2014-08-10,Monza,Olginatese,2-1,2,1,2014-15,Coppa Italia,
2014-08-10,Pisa,RapalloBogliasco,4-0,4,0,2014-15,Coppa Italia,
2014-08-10,Pontedera,Messina,3-1,3,1,2014-15,Coppa Italia,
2014-08-10,Reggina,Casertana,0-1,0,1,2014-15,Coppa Italia,
2014-08-10,Savona,Terracina Calcio,6-0,6,0,2014-15,Coppa Italia,
2014-08-10,Südtirol,Teramo,3-2,3,2,2014-15,Coppa Italia,
2014-08-10,Venezia,Taranto,5-1,5,1,2014-15,Coppa Italia,
2014-08-10,Vicenza,Bassano Virtus,1-2,1,2,2014-15,Coppa Italia,
2014-08-16,Cittadella,Pontedera,2-1,2,1,2014-15,Coppa Italia,
2014-08-16,Modena,Monza,0-0,0,0,2014-15,Coppa Italia,Modena
2014-08-16,Spezia,Lecce,1-0,1,0,2014-15,Coppa Italia,
2014-08-16,Virtus Entella,Benevento,2-2,2,2,2014-15,Coppa Italia,Virtus Entella
2014-08-17,Avellino,Venezia,2-0,2,0,2014-15,Coppa Italia,
2014-08-17,Bari,Savona,2-1,2,1,2014-15,Coppa Italia,
2014-08-17,Bologna,L'Aquila,1-2,1,2,2014-15,Coppa Italia,
2014-08-17,Brescia,Pro Vercelli,2-1,2,1,2014-15,Coppa Italia,
2014-08-17,Catania,Südtirol,1-0,1,0,2014-15,Coppa Italia,
2014-08-17,Crotone,Casertana,0-0,0,0,2014-15,Coppa Italia,Casertana
2014-08-17,Frosinone,Como,0-0,0,0,2014-15,Coppa Italia,Como
2014-08-17,Lanciano,Alessandria,1-0,1,0,2014-15,Coppa Italia,
2014-08-17,Latina,Novara Calcio,1-1,1,1,2014-15,Coppa Italia,Latina
2014-08-17,Livorno,Bassano,2-4,2,4,2014-15,Coppa Italia,
2014-08-17,Perugia,FeralpiSalò,2-0,2,0,2014-15,Coppa Italia,
2014-08-17,Pescara,Renate,1-1,1,1,2014-15,Coppa Italia,Pescara
2014-08-17,Pisa,Carpi,2-1,2,1,2014-15,Coppa Italia,
2014-08-17,Ternana,Catanzaro,2-1,2,1,2014-15,Coppa Italia,
2014-08-17,Trapani,Cremonese,1-2,1,2,2014-15,Coppa Italia,
2014-08-17,Varese,Juve Stabia,3-2,3,2,2014-15,Coppa Italia,
2014-08-21,Sassuolo,Cittadella,4-1,4,1,2014-15,Coppa Italia,
2014-08-22,Pescara,Chievo,1-0,1,0,2014-15,Coppa Italia,
2014-08-23,Atalanta,Pisa,2-0,2,0,2014-15,Coppa Italia,
2014-08-23,Bari,Avellino,1-2,1,2,2014-15,Coppa Italia,
2014-08-23,Cagliari,Catania,2-0,2,0,2014-15,Coppa Italia,
2014-08-23,Palermo,Modena,0-3,0,3,2014-15,Coppa Italia,
2014-08-23,Perugia,Spezia,2-1,2,1,2014-15,Coppa Italia,
2014-08-23,Varese,Virtus Entella,1-0,1,0,2014-15,Coppa Italia,
2014-08-24,Brescia,Latina,1-0,1,0,2014-15,Coppa Italia,
2014-08-24,Cesena,Casertana,1-0,1,0,2014-15,Coppa Italia,
2014-08-24,Empoli,L'Aquila,3-0,3,0,2014-15,Coppa Italia,
2014-08-24,Hellas Verona,Cremonese,3-0,3,0,2014-15,Coppa Italia,
2014-08-24,Lazio,Bassano Virtus,7-0,7,0,2014-15,Coppa Italia,
2014-08-24,Sampdoria,Como,4-1,4,1,2014-15,Coppa Italia,
2014-08-24,Udinese,Ternana,5-1,5,1,2014-15,Coppa Italia,
2014-08-24,Virtus Lanciano,Genoa,0-1,0,1,2014-15,Coppa Italia,
2014-12-02,Hellas Verona,Perugia,1-0,1,0,2014-15,Coppa Italia,
2014-12-02,Lazio,Varese,3-0,3,0,2014-15,Coppa Italia,
2014-12-02,Sassuolo,Pescara,1-0,1,0,2014-15,Coppa Italia,
2014-12-03,Atalanta,Avellino,2-0,2,0,2014-15,Coppa Italia,
2014-12-03,Empoli,Genoa,2-0,2,0,2014-15,Coppa Italia,
2014-12-03,Udinese,Cesena,4-2,4,2,2014-15,Coppa Italia,
2014-12-04,Cagliari,Modena,4-4,4,4,2014-15,Coppa Italia,Cagliari
2014-12-04,Sampdoria,Brescia,2-0,2,0,2014-15,Coppa Italia,
2015-01-13,Milan,Sassuolo,2-1,2,1,2014-15,Coppa Italia,
2015-01-14,Parma,Cagliari,2-1,2,1,2014-15,Coppa Italia,
2015-01-14,Torino,Lazio,1-3,1,3,2014-15,Coppa Italia,
2015-01-15,Juventus,Hellas Verona,6-1,6,1,2014-15,Coppa Italia,
2015-01-20,Roma,Empoli,2-1,2,1,2014-15,Coppa Italia,
2015-01-21,Fiorentina,Atalanta,3-1,3,1,2014-15,Coppa Italia,
2015-01-21,Internazionale,Sampdoria,2-0,2,0,2014-15,Coppa Italia,
2015-01-22,Napoli,Udinese,2-2,2,2,2014-15,Coppa Italia,Napoli
2015-01-27,Milan,Lazio,0-1,0,1,2014-15,Coppa Italia,
2015-01-28,Parma,Juventus,0-1,0,1,2014-15,Coppa Italia,
2015-02-03,Roma,Fiorentina,0-2,0,2,2014-15,Coppa Italia,
2015-02-04,Napoli,Internazionale,1-0,1,0,2014-15,Coppa Italia,
2015-03-04,Lazio,Napoli,1-1,1,1,2014-15,Coppa Italia,
2015-03-05,Juventus,Fiorentina,1-2,1,2,2014-15,Coppa Italia,
2015-04-07,Fiorentina,Juventus,0-3,0,3,2014-15,Coppa Italia,
2015-04-08,Napoli,Lazio,0-1,0,1,2014-15,Coppa Italia,
2015-05-20,Juventus,Lazio,2-1,2,1,2014-15,Coppa Italia,
2015-08-02,Alessandria,Altovicentino,2-0,2,0,2015-16,Coppa Italia,
2015-08-02,Ascoli,Cosenza,1-2,1,2,2015-16,Coppa Italia,
2015-08-02,Bassano Virtus,Pontedera,2-1,2,1,2015-16,Coppa Italia,
2015-08-02,Benevento,Tuttocuoio,0-1,0,1,2015-16,Coppa Italia,
2015-08-02,Brescia,Cremonese,0-0,0,0,2015-16,Coppa Italia,Brescia
2015-08-02,Casertana,Lecco,1-0,1,0,2015-16,Coppa Italia,
2015-08-02,Cittadella,Potenza,15-0,15,0,2015-16,Coppa Italia,
2015-08-02,FeralpiSalò,Fano,5-1,5,1,2015-16,Coppa Italia,
2015-08-02,Foggia,Lucchese,2-1,2,1,2015-16,Coppa Italia,
2015-08-02,Juve Stabia,Melfi,2-0,2,0,2015-16,Coppa Italia,
2015-08-02,L'Aquila,Arezzo,2-0,2,0,2015-16,Coppa Italia,
2015-08-02,Lecce,Catanzaro,0-0,0,0,2015-16,Coppa Italia,Lecce
2015-08-02,Matera,Südtirol,0-1,0,1,2015-16,Coppa Italia,
2015-08-02,Pavia,Poggibonsi,3-0,3,0,2015-16,Coppa Italia,
2015-08-02,Pisa,Sestri Levante,4-0,4,0,2015-16,Coppa Italia,
2015-08-02,Reggiana,Delta Rovigo,3-0,3,0,2015-16,Coppa Italia,
2015-08-02,S.P.A.L.,Rende,1-0,1,0,2015-16,Coppa Italia,
2015-08-02,Viterbese,Ancona,0-2,0,2,2015-16,Coppa Italia,
2015-08-08,Livorno,Ancona,2-0,2,0,2015-16,Coppa Italia,
2015-08-08,Spezia,Brescia,1-0,1,0,2015-16,Coppa Italia,
2015-08-09,Avellino,Casertana,3-0,3,0,2015-16,Coppa Italia,
2015-08-09,Bari,Foggia,1-2,1,2,2015-16,Coppa Italia,
2015-08-09,Cagliari,Virtus Entella,5-0,5,0,2015-16,Coppa Italia,
2015-08-09,Cesena,Lecce,4-0,4,0,2015-16,Coppa Italia,
2015-08-09,Crotone,FeralpiSalò,1-0,1,0,2015-16,Coppa Italia,
2015-08-09,Latina,Pavia,1-4,1,4,2015-16,Coppa Italia,
2015-08-09,Modena,Tuttocuoio,3-0,3,0,2015-16,Coppa Italia,
2015-08-09,Novara,L'Aquila,5-0,5,0,2015-16,Coppa Italia,
2015-08-09,Perugia,Reggiana,3-1,3,1,2015-16,Coppa Italia,
2015-08-09,Pescara,Südtirol,2-0,2,0,2015-16,Coppa Italia,
2015-08-09,Pro Vercelli,Alessandria,1-2,1,2,2015-16,Coppa Italia,
2015-08-09,Salernitana,Pisa,1-0,1,0,2015-16,Coppa Italia,
2015-08-09,Teramo,Cittadella,0-2,0,2,2015-16,Coppa Italia,
2015-08-09,Ternana,Bassano Virtus,2-0,2,0,2015-16,Coppa Italia,
2015-08-09,Trapani,Parma,1-0,1,0,2015-16,Coppa Italia,
2015-08-09,Vicenza,Cosenza,1-1,1,1,2015-16,Coppa Italia,Vicenza
2015-08-09,Virtus Lanciano,Juve Stabia,0-2,0,2,2015-16,Coppa Italia,
2015-08-10,Catania,S.P.A.L.,3-0,3,0,2015-16,Coppa Italia,
2015-08-14,Bologna,Pavia,0-1,0,1,2015-16,Coppa Italia,
2015-08-14,Crotone,Ternana,1-0,1,0,2015-16,Coppa Italia,
2015-08-15,Alessandria,Juve Stabia,1-0,1,0,2015-16,Coppa Italia,
2015-08-15,Atalanta,Cittadella,3-0,3,0,2015-16,Coppa Italia,
2015-08-15,Empoli,Vicenza,0-1,0,1,2015-16,Coppa Italia,
2015-08-15,Frosinone,Spezia,0-0,0,0,2015-16,Coppa Italia,Spezia
2015-08-15,Hellas Verona,Foggia,3-1,3,1,2015-16,Coppa Italia,
2015-08-15,Palermo,Avellino,2-1,2,1,2015-16,Coppa Italia,
2015-08-15,Sassuolo,Modena,2-0,2,0,2015-16,Coppa Italia,
2015-08-15,Trapani,Cagliari,1-1,1,1,2015-16,Coppa Italia,Cagliari
2015-08-16,Carpi,Livorno,2-0,2,0,2015-16,Coppa Italia,
2015-08-16,Torino,Pescara,4-1,4,1,2015-16,Coppa Italia,
2015-08-16,Udinese,Novara,3-1,3,1,2015-16,Coppa Italia,
2015-08-17,Chievo,Salernitana,0-1,0,1,2015-16,Coppa Italia,
2015-08-17,Milan,Perugia,2-0,2,0,2015-16,Coppa Italia,
2015-08-20,Catania,Cesena,1-4,1,4,2015-16,Coppa Italia,
2015-12-01,Milan,Crotone,3-1,3,1,2015-16,Coppa Italia,
2015-12-01,Spezia,Salernitana,2-0,2,0,2015-16,Coppa Italia,
2015-12-01,Torino,Cesena,4-1,4,1,2015-16,Coppa Italia,
2015-12-02,Hellas Verona,Pavia,1-0,1,0,2015-16,Coppa Italia,
2015-12-02,Palermo,Alessandria,2-3,2,3,2015-16,Coppa Italia,
2015-12-02,Udinese,Atalanta,3-1,3,1,2015-16,Coppa Italia,
2015-12-03,Carpi,Vicenza,2-1,2,1,2015-16,Coppa Italia,
2015-12-03,Sassuolo,Cagliari,0-1,0,1,2015-16,Coppa Italia,
2015-12-15,Genoa,Alessandria,1-2,1,2,2015-16,Coppa Italia,
2015-12-15,Internazionale,Cagliari,3-0,3,0,2015-16,Coppa Italia,
2015-12-16,Fiorentina,Carpi,0-1,0,1,2015-16,Coppa Italia,
2015-12-16,Juventus,Torino,4-0,4,0,2015-16,Coppa Italia,
2015-12-16,Napoli,Hellas Verona,3-0,3,0,2015-16,Coppa Italia,
2015-12-16,Roma,Spezia,0-0,0,0,2015-16,Coppa Italia,Spezia
2015-12-17,Lazio,Udinese,2-1,2,1,2015-16,Coppa Italia,
2015-12-17,Sampdoria,Milan,0-2,0,2,2015-16,Coppa Italia,
2016-01-13,Milan,Carpi,2-1,2,1,2015-16,Coppa Italia,
2016-01-18,Spezia,Alessandria,1-2,1,2,2015-16,Coppa Italia,
2016-01-19,Napoli,Internazionale,0-2,0,2,2015-16,Coppa Italia,
2016-01-20,Lazio,Juventus,0-1,0,1,2015-16,Coppa Italia,
2016-01-26,Alessandria,Milan,0-1,0,1,2015-16,Coppa Italia,
2016-01-27,Juventus,Internazionale,3-0,3,0,2015-16,Coppa Italia,
2016-03-01,Milan,Alessandria,5-0,5,0,2015-16,Coppa Italia,
2016-03-02,Internazionale,Juventus,3-0,3,0,2015-16,Coppa Italia,
2016-05-21,Milan,Juventus,0-1,0,1,2015-16,Coppa Italia,
2016-07-29,Livorno,Juve Stabia,1-3,1,3,2016-17,Coppa Italia,
2016-07-30,Campodarsego,Maceratese,3-3,3,3,2016-17,Coppa Italia,Maceratese
2016-07-30,Lecce,Altovicentino,2-1,2,1,2016-17,Coppa Italia,
2016-07-31,Alessandria,Teramo,2-1,2,1,2016-17,Coppa Italia,
2016-07-31,Ancona,Südtirol,4-3,4,3,2016-17,Coppa Italia,
2016-07-31,Bassano Virtus,Fidelis Andria,1-1,1,1,2016-17,Coppa Italia,Bassano Virtus
2016-07-31,Carrarese,Arezzo,1-2,1,2,2016-17,Coppa Italia,
2016-07-31,Casertana,Tuttocuoio,3-2,3,2,2016-17,Coppa Italia,
2016-07-31,Como,Montecatini,3-0,3,0,2016-17,Coppa Italia,
2016-07-31,Cosenza,Frattese,1-0,1,0,2016-17,Coppa Italia,
2016-07-31,Cremonese,Fermana,4-3,4,3,2016-17,Coppa Italia,
2016-07-31,FeralpiSalò,Reggiana,2-3,2,3,2016-17,Coppa Italia,
2016-07-31,Foggia,Pontedera,3-1,3,1,2016-17,Coppa Italia,
2016-07-31,Matera,Caronnese,3-0,3,0,2016-17,Coppa Italia,
2016-07-31,Modena,Francavilla,2-0,2,0,2016-17,Coppa Italia,
2016-07-31,Padova,Seregno,0-0,0,0,2016-17,Coppa Italia,Seregno
2016-07-31,Pordenone,Grosseto,5-2,5,2,2016-17,Coppa Italia,
2016-07-31,Siena,Messina,0-3,0,3,2016-17,Coppa Italia,
2016-08-05,Hellas Verona,Foggia,2-1,2,1,2016-17,Coppa Italia,
2016-08-06,Carpi,Maceratese,3-2,3,2,2016-17,Coppa Italia,
2016-08-06,Spezia,Modena,1-0,1,0,2016-17,Coppa Italia,
2016-08-07,Bari,Cosenza,1-0,1,0,2016-17,Coppa Italia,
2016-08-07,Bassano Virtus,Avellino,2-0,2,0,2016-17,Coppa Italia,
2016-08-07,Benevento,Salernitana,0-0,0,0,2016-17,Coppa Italia,Salernitana
2016-08-07,Brescia,Pisa,0-2,0,2,2016-17,Coppa Italia,
2016-08-07,Cesena,Arezzo,2-0,2,0,2016-17,Coppa Italia,
2016-08-07,Cittadella,Cremonese,1-2,1,2,2016-17,Coppa Italia,
2016-08-07,Frosinone,Como,3-0,3,0,2016-17,Coppa Italia,
2016-08-07,Latina,Matera,1-0,1,0,2016-17,Coppa Italia,
2016-08-07,Novara,Juve Stabia,2-1,2,1,2016-17,Coppa Italia,
2016-08-07,Perugia,Alessandria,1-0,1,0,2016-17,Coppa Italia,
2016-08-07,Pro Vercelli,Reggiana,3-1,3,1,2016-17,Coppa Italia,
2016-08-07,SPAL,Messina,2-0,2,0,2016-17,Coppa Italia,
2016-08-07,Ternana,Pordenone,2-0,2,0,2016-17,Coppa Italia,
2016-08-07,Trapani,Seregno,3-0,3,0,2016-17,Coppa Italia,
2016-08-07,Vicenza,Casertana,4-2,4,2,2016-17,Coppa Italia,
2016-08-07,Virtus Entella,Ancona,2-0,2,0,2016-17,Coppa Italia,
2016-08-08,Ascoli,Lecce,2-2,2,2,2016-17,Coppa Italia,Lecce
2016-08-12,Bologna,Trapani,2-0,2,0,2016-17,Coppa Italia,
2016-08-12,Genoa,Lecce,3-2,3,2,2016-17,Coppa Italia,
2016-08-12,Palermo,Bari,1-0,1,0,2016-17,Coppa Italia,
2016-08-13,Atalanta,Cremonese,3-0,3,0,2016-17,Coppa Italia,
2016-08-13,Cesena,Ternana,2-0,2,0,2016-17,Coppa Italia,
2016-08-13,Chievo,Virtus Entella,3-0,3,0,2016-17,Coppa Italia,
2016-08-13,Empoli,Vicenza,2-0,2,0,2016-17,Coppa Italia,
2016-08-13,Novara,Latina,1-0,1,0,2016-17,Coppa Italia,
2016-08-13,Perugia,Carpi,2-1,2,1,2016-17,Coppa Italia,
2016-08-13,Pescara,Frosinone,2-0,2,0,2016-17,Coppa Italia,
2016-08-13,Torino,Pro Vercelli,4-1,4,1,2016-17,Coppa Italia,
2016-08-13,Udinese,Spezia,2-3,2,3,2016-17,Coppa Italia,
2016-08-14,Hellas Verona,Crotone,2-1,2,1,2016-17,Coppa Italia,
2016-08-14,Salernitana,Pisa,1-1,1,1,2016-17,Coppa Italia,Pisa
2016-08-14,Sampdoria,Bassano Virtus,3-0,3,0,2016-17,Coppa Italia,
2016-08-15,Cagliari,SPAL,5-1,5,1,2016-17,Coppa Italia,
2016-11-29,Chievo,Novara,3-0,3,0,2016-17,Coppa Italia,
2016-11-29,Empoli,Cesena,1-2,1,2,2016-17,Coppa Italia,
2016-11-29,Torino,Pisa,4-0,4,0,2016-17,Coppa Italia,
2016-11-30,Atalanta,Pescara,3-0,3,0,2016-17,Coppa Italia,
2016-11-30,Palermo,Spezia,0-0,0,0,2016-17,Coppa Italia,Spezia
2016-11-30,Sampdoria,Cagliari,3-0,3,0,2016-17,Coppa Italia,
2016-12-01,Bologna,Hellas Verona,4-0,4,0,2016-17,Coppa Italia,
2016-12-01,Genoa,Perugia,4-3,4,3,2016-17,Coppa Italia,
2017-01-10,Napoli,Spezia,3-1,3,1,2016-17,Coppa Italia,
2017-01-11,Fiorentina,Chievo,1-0,1,0,2016-17,Coppa Italia,
2017-01-11,Juventus,Atalanta,3-2,3,2,2016-17,Coppa Italia,
2017-01-12,Milan,Torino,2-1,2,1,2016-17,Coppa Italia,
2017-01-17,Internazionale,Bologna,3-2,3,2,2016-17,Coppa Italia,
2017-01-18,Lazio,Genoa,4-2,4,2,2016-17,Coppa Italia,
2017-01-18,Sassuolo,Cesena,1-2,1,2,2016-17,Coppa Italia,
2017-01-19,Roma,Sampdoria,4-0,4,0,2016-17,Coppa Italia,
2017-01-24,Napoli,Fiorentina,1-0,1,0,2016-17,Coppa Italia,
2017-01-25,Juventus,Milan,2-1,2,1,2016-17,Coppa Italia,
2017-01-31,Internazionale,Lazio,1-2,1,2,2016-17,Coppa Italia,
2017-02-01,Roma,Cesena,2-1,2,1,2016-17,Coppa Italia,
2017-02-28,Juventus,Napoli,3-1,3,1,2016-17,Coppa Italia,
2017-03-01,Lazio,Roma,2-0,2,0,2016-17,Coppa Italia,
2017-04-04,Roma,Lazio,3-2,3,2,2016-17,Coppa Italia,
2017-04-05,Napoli,Juventus,3-2,3,2,2016-17,Coppa Italia,
2017-05-17,Juventus,Lazio,2-0,2,0,2016-17,Coppa Italia,
2017-07-29,Arezzo,Triestina,0-1,0,1,2017-18,Coppa Italia,
2017-07-30,Cosenza,Alessandria,2-3,2,3,2017-18,Coppa Italia,
2017-07-30,Giana Erminio,AlbinoLeffe,1-3,1,3,2017-18,Coppa Italia,
2017-07-30,Gubbio,Nuova Monterosi (4),1-0,1,0,2017-18,Coppa Italia,
2017-07-30,Juve Stabia,Bassano Virtus,3-1,3,1,2017-18,Coppa Italia,
2017-07-30,Lecce,Ciliverghe Mazzano,3-0,3,0,2017-18,Coppa Italia,
2017-07-30,Livorno,FeralpiSalò,0-0,0,0,2017-18,Coppa Italia,Livorno
2017-07-30,Matera,Casertana,2-0,2,0,2017-18,Coppa Italia,
2017-07-30,Padova,Rende,2-1,2,1,2017-18,Coppa Italia,
2017-07-30,Piacenza,Massese,1-0,1,0,2017-18,Coppa Italia,
2017-07-30,Pisa,Varese,3-1,3,1,2017-18,Coppa Italia,
2017-07-30,Pordenone,Matelica,2-0,2,0,2017-18,Coppa Italia,
2017-07-30,Renate,Siracusa,3-1,3,1,2017-18,Coppa Italia,
2017-07-30,Sambenedettese,Lucchese,2-0,2,0,2017-18,Coppa Italia,
2017-07-30,Trapani,Paganese,6-0,6,0,2017-18,Coppa Italia,
2017-07-30,Trastevere (4),Reggiana,1-2,1,2,2017-18,Coppa Italia,
2017-07-30,Vicenza,Pro Piacenza,4-1,4,1,2017-18,Coppa Italia,
2017-07-30,Virtus Francavilla,Imolese,3-1,3,1,2017-18,Coppa Italia,
2017-08-05,Ascoli,Juve Stabia,3-2,3,2,2017-18,Coppa Italia,
2017-08-05,Empoli,Renate,2-2,2,2,2017-18,Coppa Italia,Renate
2017-08-05,Pro Vercelli,Lecce,1-2,1,2,2017-18,Coppa Italia,
2017-08-05,Spezia,Reggiana,3-0,3,0,2017-18,Coppa Italia,
2017-08-06,Avellino,Matera,1-0,1,0,2017-18,Coppa Italia,
2017-08-06,Bari,Parma,2-1,2,1,2017-18,Coppa Italia,
2017-08-06,Brescia,Padova,1-0,1,0,2017-18,Coppa Italia,
2017-08-06,Carpi,Livorno,4-0,4,0,2017-18,Coppa Italia,
2017-08-06,Cesena,Sambenedettese,2-1,2,1,2017-18,Coppa Italia,
2017-08-06,Cittadella,AlbinoLeffe,2-1,2,1,2017-18,Coppa Italia,
2017-08-06,Novara,Piacenza,1-2,1,2,2017-18,Coppa Italia,
2017-08-06,Palermo,Virtus Francavilla,5-0,5,0,2017-18,Coppa Italia,
2017-08-06,Perugia,Gubbio,2-1,2,1,2017-18,Coppa Italia,
2017-08-06,Pescara,Triestina,5-3,5,3,2017-18,Coppa Italia,
2017-08-06,Pisa,Frosinone,0-1,0,1,2017-18,Coppa Italia,
2017-08-06,Salernitana,Alessandria,2-1,2,1,2017-18,Coppa Italia,
2017-08-06,Ternana,Trapani,0-1,0,1,2017-18,Coppa Italia,
2017-08-06,Venezia,Pordenone,1-2,1,2,2017-18,Coppa Italia,
2017-08-06,Vicenza,Foggia,1-3,1,3,2017-18,Coppa Italia,
2017-08-06,Virtus Entella,Cremonese,0-1,0,1,2017-18,Coppa Italia,
2017-08-11,Torino,Trapani,7-1,7,1,2017-18,Coppa Italia,
2017-08-12,Bari,Cremonese,2-1,2,1,2017-18,Coppa Italia,
2017-08-12,Benevento,Perugia,0-4,0,4,2017-18,Coppa Italia,
2017-08-12,Bologna,Cittadella,0-3,0,3,2017-18,Coppa Italia,
2017-08-12,Brescia,Pescara,1-3,1,3,2017-18,Coppa Italia,
2017-08-12,Cagliari,Palermo,1-1,1,1,2017-18,Coppa Italia,Cagliari
2017-08-12,Carpi,Salernitana,3-3,3,3,2017-18,Coppa Italia,Carpi
2017-08-12,Chievo,Ascoli,2-1,2,1,2017-18,Coppa Italia,
2017-08-12,Crotone,Piacenza,2-1,2,1,2017-18,Coppa Italia,
2017-08-12,Pordenone,Lecce,3-2,3,2,2017-18,Coppa Italia,
2017-08-12,SPAL,Renate,1-0,1,0,2017-18,Coppa Italia,
2017-08-12,Sampdoria,Foggia,3-0,3,0,2017-18,Coppa Italia,
2017-08-12,Sassuolo,Spezia,2-0,2,0,2017-18,Coppa Italia,
2017-08-12,Udinese,Frosinone,3-2,3,2,2017-18,Coppa Italia,
2017-08-13,Genoa,Cesena,2-1,2,1,2017-18,Coppa Italia,
